DIA,MES,ANNO,HR,TEMP
9,11,2018,93.65,31.93
9,11,2018,93.53,31.93
9,11,2018,93.45,31.91
9,11,2018,93.53,31.91
9,11,2018,93.62,31.91
9,11,2018,93.7,31.91
9,11,2018,93.78,31.95
9,11,2018,93.87,31.95
9,11,2018,93.95,31.95
9,11,2018,94.03,31.95
9,11,2018,94.13,31.95
9,11,2018,94.25,31.95
9,11,2018,94.4,31.95
9,11,2018,94.57,31.95
9,11,2018,94.75,31.93
9,11,2018,94.95,31.93
9,11,2018,95.13,31.93
9,11,2018,95.3,31.93
9,11,2018,95.47,31.95
9,11,2018,95.62,31.95
9,11,2018,95.8,31.95
9,11,2018,95.98,31.95
9,11,2018,96.12,31.97
9,11,2018,96.2,31.97
9,11,2018,96.25,31.97
9,11,2018,96.28,31.97
9,11,2018,96.32,31.95
9,11,2018,96.3,31.95
9,11,2018,96.32,31.95
9,11,2018,96.45,31.95
9,11,2018,96.63,31.97
9,11,2018,96.77,31.97
9,11,2018,96.83,31.97
9,11,2018,96.87,31.97
9,11,2018,96.98,31.95
9,11,2018,97.08,31.95
9,11,2018,97.27,31.95
9,11,2018,97.42,31.95
9,11,2018,97.55,31.95
9,11,2018,97.8,31.95
9,11,2018,98,31.95
9,11,2018,98.1,31.95
9,11,2018,98.22,31.97
9,11,2018,98.32,31.97
9,11,2018,98.32,31.97
9,11,2018,98.35,31.97
9,11,2018,98.38,31.95
9,11,2018,98.42,31.95
9,11,2018,98.47,31.95
9,11,2018,98.53,31.95
9,11,2018,98.68,31.95
9,11,2018,98.93,31.95
9,11,2018,99.22,31.95
9,11,2018,99.5,31.95
9,11,2018,99.77,31.95
9,11,2018,100.02,31.95
9,11,2018,100.35,31.95
9,11,2018,100.67,31.95
9,11,2018,100.98,31.93
9,11,2018,101.27,31.93
9,11,2018,101.37,31.93
9,11,2018,101.33,31.93
9,11,2018,101.32,31.95
9,11,2018,101.17,31.95
9,11,2018,101.02,31.95
9,11,2018,100.92,31.95
9,11,2018,100.85,31.93
9,11,2018,100.8,31.93
9,11,2018,100.77,31.93
9,11,2018,100.75,31.93
9,11,2018,100.73,31.93
9,11,2018,100.7,31.93
9,11,2018,100.65,31.93
9,11,2018,100.58,31.93
9,11,2018,100.5,31.93
9,11,2018,100.4,31.93
9,11,2018,100.3,31.93
9,11,2018,100.22,31.93
9,11,2018,100.12,31.95
9,11,2018,100.03,31.95
9,11,2018,99.92,31.95
9,11,2018,99.78,31.95
9,11,2018,99.68,31.95
9,11,2018,99.63,31.95
9,11,2018,99.62,31.95
9,11,2018,99.62,31.95
9,11,2018,99.62,31.93
9,11,2018,99.65,31.93
9,11,2018,99.62,31.93
9,11,2018,99.52,31.93
9,11,2018,99.35,31.93
9,11,2018,99.22,31.93
9,11,2018,99.15,31.93
9,11,2018,99.08,31.93
9,11,2018,98.95,31.95
9,11,2018,98.88,31.95
9,11,2018,98.77,31.95
9,11,2018,98.68,31.95
9,11,2018,98.62,31.95
9,11,2018,98.55,31.95
9,11,2018,98.52,31.95
9,11,2018,98.58,31.95
9,11,2018,98.63,31.93
9,11,2018,98.67,31.93
9,11,2018,98.8,31.93
9,11,2018,98.9,31.93
9,11,2018,98.97,31.93
9,11,2018,99.03,31.93
9,11,2018,99.1,31.93
9,11,2018,99.17,31.93
9,11,2018,99.22,31.91
9,11,2018,99.25,31.91
9,11,2018,99.27,31.91
9,11,2018,99.3,31.91
9,11,2018,99.33,31.93
9,11,2018,99.37,31.93
9,11,2018,99.32,31.93
9,11,2018,99.28,31.93
9,11,2018,99.27,31.91
9,11,2018,99.27,31.91
9,11,2018,99.3,31.91
9,11,2018,99.47,31.91
9,11,2018,99.62,31.93
9,11,2018,99.78,31.93
9,11,2018,99.93,31.93
9,11,2018,100.03,31.93
9,11,2018,100.08,31.93
9,11,2018,100.1,31.93
9,11,2018,100.08,31.93
9,11,2018,100.03,31.93
9,11,2018,99.95,31.91
9,11,2018,99.85,31.91
9,11,2018,99.75,31.91
9,11,2018,99.63,31.91
9,11,2018,99.52,31.95
9,11,2018,99.4,31.95
9,11,2018,99.3,31.95
